dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5439560413360596,0.3443072736263275,0.3333333432674408,0.0,True,1.352,0.5498,0.5236,0.539,0.5771,0.4459,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5641025900840759,0.36625513434410095,0.35087719559669495,0.0,True,1.177,0.6067,0.5626,0.5583,0.6376,0.5649,
chameleon,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5833333134651184,0.4156378507614136,0.40570175647735596,0.0,True,1.351,0.7109,0.6083,0.5679,0.7344,0.5434,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5549450516700745,0.30452674627304077,0.3530701696872711,0.0,True,0.515,,,,,,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5888278484344482,0.3470507562160492,0.375,0.0,True,0.718,,,,,,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5979853272438049,0.3827160596847534,0.4254385828971863,0.0,True,0.682,,,,,,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5485348105430603,0.2812071442604065,0.3399122953414917,0.0,True,0.445,,,,,,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5549450516700745,0.30452674627304077,0.3530701696872711,0.0,True,1.118,0.5258,0.4914,0.5,0.6014,0.521,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5888278484344482,0.3470507562160492,0.375,0.0,True,1.221,0.5685,0.6013,0.5387,0.6603,0.521,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5979853272438049,0.3827160596847534,0.4254385828971863,0.0,True,1.102,0.6811,0.5681,0.5155,0.7015,0.6525,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5558608174324036,0.3017832636833191,0.3486842215061188,0.0,True,1.371,0.5258,0.4914,0.5,0.6014,0.521,
