split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,conf_i_to_j,conf_j_to_i,coupling_distance_angle,coupled_confusion_score
5,1,4,0,0,0.7081196702692568,27.46765875634222,2.8870087794200643,13,8,5,0.6404453199704594,0.24487615175341093
5,2,0,0,1,0.5874040535279182,16.57928681457977,3.2165074050712823,38,12,26,1.2791090577217714,1.429592476277274
5,2,1,0,0,0.4937214071142579,17.513816168195635,3.3720839573562595,35,19,16,1.4406139411892607,1.482984939459533
5,2,3,0,1,0.4385836650285002,23.076247808629816,3.581686089973019,67,37,30,1.2308148053576615,2.4254291752636274
5,2,4,0,0,0.41343467203008155,22.942910093786743,3.3737867893429585,37,19,18,1.313272831098887,1.4291498456076122
5,4,0,0,1,0.8360600130365472,28.700733546574867,2.7563038453448567,16,6,10,0.5191345205701137,0.2442985979153476
5,4,1,0,0,0.7081196702692568,27.46765875634222,2.8870087794200643,13,8,5,0.6404453199704594,0.24487615175341093
5,4,2,0,0,0.41343467203008155,22.942910093786743,3.3737867893429585,37,19,18,1.313272831098887,1.4291498456076122
5,4,3,0,1,0.4137286024212141,23.167424658908708,3.382074858449403,33,12,21,1.2996219946401948,1.2613978183272478
5,0,1,1,0,0.4379442244359461,12.677546101475949,3.719701854905288,63,23,40,2.24365644032899,4.15736340413901
5,0,2,1,0,0.5874040535279182,16.57928681457977,3.2165074050712823,38,12,26,1.2791090577217714,1.429592476277274
5,0,3,1,1,0.7657493266402143,23.012430539177462,3.105805421468256,27,11,16,0.70690531005454,0.5613659815138994
5,0,4,1,0,0.8360600130365472,28.700733546574867,2.7563038453448567,16,6,10,0.5191345205701137,0.2442985979153476
5,3,0,1,1,0.7657493266402143,23.012430539177462,3.105805421468256,27,11,16,0.70690531005454,0.5613659815138994
5,3,1,1,0,0.6435528417322715,23.481295214207194,3.1110702260060905,25,16,9,0.8243356784709579,0.6061291753462926
5,3,2,1,0,0.4385836650285002,23.076247808629816,3.581686089973019,67,37,30,1.2308148053576615,2.4254291752636274
5,3,4,1,0,0.4137286024212141,23.167424658908708,3.382074858449403,33,12,21,1.2996219946401948,1.2613978183272478
6,1,0,0,1,0.4815222742592458,12.865846841623476,3.6376877726124714,66,27,39,2.1917316666761706,3.909575405422358
6,1,2,0,0,0.5134479881288032,17.003898455833106,3.4856170097862043,39,19,20,1.5552391559938368,1.6393061373989088
6,1,3,0,1,0.6585247307089231,27.22726388027514,2.868070187999896,17,10,7,0.7572966772021265,0.3479471219577338
6,1,4,0,0,0.7115578040926909,26.08815054103946,2.7990402788366984,13,10,3,0.7314567686065107,0.25699832410499024
6,2,0,0,1,0.6158579456336697,16.415050648792455,3.171443319586038,35,8,27,1.3431340685193363,1.2705322269777506
6,2,1,0,0,0.5134479881288032,17.003898455833106,3.4856170097862043,39,19,20,1.5552391559938368,1.6393061373989088
6,2,3,0,1,0.46019331414133313,23.95012285274437,3.4851907862954064,50,28,22,1.2319528621478595,1.664801165064675
6,2,4,0,0,0.402584741426864,22.752665565538386,3.275602482267134,39,21,18,1.4823561086000434,1.5624834658216673
6,4,0,0,1,0.8578914878040738,28.5947987633474,2.6027677324308844,9,3,6,0.5535065160818045,0.1346367201280065
6,4,1,0,0,0.7115578040926909,26.08815054103946,2.7990402788366984,13,10,3,0.7314567686065107,0.25699832410499024
6,4,2,0,0,0.402584741426864,22.752665565538386,3.275602482267134,39,21,18,1.4823561086000434,1.5624834658216673
6,4,3,0,1,0.42833933353139175,24.143835435011123,3.1996993841995036,44,19,25,1.3129491980133048,1.5613449922320382
6,0,1,1,0,0.4815222742592458,12.865846841623476,3.6376877726124714,66,27,39,2.1917316666761706,3.909575405422358
6,0,2,1,0,0.6158579456336697,16.415050648792455,3.171443319586038,35,8,27,1.3431340685193363,1.2705322269777506
6,0,3,1,1,0.7921594030845647,25.73178733230558,2.837641399897344,19,9,10,0.6661309400968349,0.3420672395091855
6,0,4,1,0,0.8578914878040738,28.5947987633474,2.6027677324308844,9,3,6,0.5535065160818045,0.1346367201280065
6,3,0,1,1,0.7921594030845647,25.73178733230558,2.837641399897344,19,9,10,0.6661309400968349,0.3420672395091855
