stage,objective,val_acc,val_bal_acc,val_fp,test_acc_at_selection_time,top_k,dim,energy,alphas_json,w,round,split,beam_rank,fixed_val_vs_round1,broken_val_vs_round1,fixed_test_vs_round1,broken_test_vs_round1,temperature,topk_r2,w2,alphas_r2_json
round1_scan,0.7995259657702001,0.6982167352537723,0.6955494095943534,0.0755795230681299,0.6864035087719298,4000,64,0.95,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8027833941591861,0.700960219478738,0.6987809753259191,0.0748492904609924,0.6951754385964912,4000,64,0.95,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8044018497077386,0.7023319615912208,0.7003389337659002,0.07452379870917829,0.6929824561403509,4000,64,0.95,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.809107568205177,0.7064471879286695,0.7040058749328412,0.07351252408546483,0.6929824561403509,4000,64,0.95,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8026159290706223,0.700960219478738,0.6977021005110894,0.07499013711947751,0.6885964912280702,4000,64,0.95,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8106835015312541,0.7078189300411523,0.7052923693373131,0.07323209776237563,0.6864035087719298,4000,64,0.99,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8091788274916879,0.7064471879286695,0.7044910297719287,0.07355037256927319,0.6907894736842105,4000,64,0.99,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8123546236413323,0.7091906721536351,0.7071937324746314,0.07287770958743905,0.6929824561403509,4000,64,0.99,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8107649839316717,0.7078189300411523,0.7058423811232799,0.07325758194931244,0.6995614035087719,4000,64,0.99,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8124528146794112,0.7091906721536351,0.7078558512547277,0.07290587906082416,0.7039473684210527,4000,64,0.99,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8155002644793958,0.7119341563786008,0.7096686793316007,0.07210484497362706,0.6885964912280702,4000,64,0.99,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8122240035846496,0.7091906721536351,0.7063038578488017,0.07280618115764209,0.6864035087719298,4000,64,0.99,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8059281306565242,0.7037037037037037,0.7012855653305092,0.07421019616889629,0.6864035087719298,4000,64,0.99,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8075816805413698,0.7050754458161865,0.7030712796162234,0.07386143043125422,0.6885964912280702,4000,64,0.99,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8107490621352391,0.7078189300411523,0.7057267322716761,0.07322194366661292,0.6820175438596491,4000,64,0.99,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.799547644529869,0.6982167352537723,0.6956911597361035,0.07556911710796928,0.6820175438596491,4000,64,0.99,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.80280513669916,0.700960219478738,0.6989227254676693,0.07483728999320974,0.6798245614035088,4000,64,0.99,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8060126736051934,0.7037037037037037,0.7018320352590015,0.07414588468401587,0.6864035087719298,4000,64,0.99,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.8043578156750735,0.7023319615912208,0.7000463209732872,0.07452735155351128,0.6820175438596491,4000,64,0.99,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.8042627141533788,0.7023319615912208,0.699431452240441,0.07459913184770614,0.6798245614035088,4000,64,0.99,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8138912544059417,0.710562414266118,0.7082016791286454,0.07253529323682885,0.6885964912280702,4000,96,0.9,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8090923870631443,0.7064471879286695,0.7039410179859618,0.07364883908548168,0.6885964912280702,4000,96,0.9,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8092448058248116,0.7064471879286695,0.7049429996059209,0.07359580111864657,0.6864035087719298,4000,96,0.9,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.806104726143945,0.7037037037037037,0.7024680527489517,0.07422963680253707,0.6885964912280702,4000,96,0.9,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7998514617171767,0.6982167352537723,0.6977423730232719,0.07566573725215783,0.6885964912280702,4000,96,0.9,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8139552910094611,0.710562414266118,0.7086099407728621,0.07246535931465391,0.6885964912280702,4000,96,0.9,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8107416467977896,0.7078189300411523,0.705679482224426,0.07323013942566468,0.6885964912280702,4000,96,0.9,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8061948762169264,0.7037037037037037,0.7030617727246942,0.07420233488703665,0.6864035087719298,4000,96,0.9,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7935384518191018,0.6927297668038409,0.6925823303632292,0.07696661348058798,0.6864035087719298,4000,96,0.9,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7919492529755872,0.691358024691358,0.6912309790118779,0.07733546418881394,0.6907894736842105,4000,96,0.9,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.7995980902314082,0.6982167352537723,0.6960310225759663,0.07558246021897608,0.6842105263157895,4000,96,0.9,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.7995987224384686,0.6982167352537723,0.6960310225759664,0.07556665504246254,0.6885964912280702,4000,96,0.9,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.7947779580179232,0.6941015089163237,0.6916074625344288,0.07661675696411965,0.6842105263157895,4000,96,0.9,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7916207146250799,0.691358024691358,0.6890380155829594,0.07732531009305121,0.6864035087719298,4000,96,0.9,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7932715454865071,0.6927297668038409,0.6908237298686737,0.07704451994087312,0.6842105263157895,4000,96,0.9,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8154136282313502,0.7119341563786008,0.7091186675456338,0.07220820697739269,0.6885964912280702,4000,96,0.95,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8138675858218024,0.710562414266118,0.7080423220872658,0.07252941893513645,0.6907894736842105,4000,96,0.95,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8154549328210267,0.7119341563786008,0.7093936734386173,0.07220686433416855,0.6995614035087719,4000,96,0.95,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
